Metadata_PlateID:Nuclei,Positive Control,Negative Control,Multivariate Z Prime:Actin_Hoechst,Multivariate Z Prime:Actin_Tubulin,Multivariate Z Prime:Actin,Multivariate Z Prime:Hoechst_Tubulin,Multivariate Z Prime:Hoechst,Multivariate Z Prime:Tubulin,Multivariate Z Prime:Actin_Hoechst_Tubulin
Mean,PC,NC,0.266759549,0.414806921,0.243114662,0.613458294,0.122349487,0.354600431,0.596185954
Week10_40111,PC,NC,0.50664885,0.315146181,0.542343395,0.659854502,0.319446586,0.276006565,0.677626011
Week10_40115,PC,NC,0.39003291,0.305068078,0.381110094,0.627147588,0.256778987,0.277818994,0.635459382
Week10_40119,PC,NC,0.490591789,0.50567009,0.470938944,0.687208118,0.393570816,0.386800972,0.635925876
Week1_22123,PC,NC,0.276125455,0.588195113,0.354087118,0.596382417,-0.058329072,0.502559573,0.641385714
Week1_22141,PC,NC,0.330790871,0.564500647,0.344455597,0.577669402,0.007804727,0.506554366,0.569330406
Week1_22161,PC,NC,0.235683017,0.63567357,0.261229607,0.718994875,-0.094506169,0.598272838,0.725087027
Week1_22361,PC,NC,0.397158546,0.668769348,0.38349531,0.762497963,0.149447477,0.642922515,0.751774798
Week1_22381,PC,NC,0.28622538,0.694396979,0.332636563,0.739551556,0.107244033,0.664534294,0.730069577
Week1_22401,PC,NC,0.360009812,0.632300103,0.343909386,0.68470141,0.222597467,0.667963978,0.648542874
Week2_24121,PC,NC,0.218650685,0.603179145,0.106536106,0.783282881,0.027863408,0.559014794,0.691094802
Week2_24141,PC,NC,0.248038089,0.543205388,0.238793417,0.746379963,0.027647511,0.475648864,0.70333454
Week2_24161,PC,NC,0.188693673,0.533476132,0.187720655,0.712434357,0.056483017,0.475590619,0.662032576
Week2_24361,PC,NC,0.133714617,0.043214504,0.148227795,0.188785694,0.007232291,-0.016118663,0.168273352
Week2_24381,PC,NC,-0.103691965,0.449089971,-0.112749862,0.785721097,-0.053939797,0.440737846,0.742280634
Week2_24401,PC,NC,0.115465881,0.231526031,0.03121105,0.199618589,0.082376074,0.196794561,0.273773295
Week3_25421,PC,NC,0.376732274,0.618825075,0.360853384,0.676838992,0.109574735,0.487500947,0.696667664
Week3_25441,PC,NC,0.456111616,0.611236756,0.433099251,0.711468447,0.197005566,0.506771792,0.68562696
Week3_25461,PC,NC,0.478424855,0.584180442,0.499524129,0.686222456,0.176893784,0.503160742,0.666215292
Week3_25681,PC,NC,0.359066547,0.602210619,0.340607084,0.740901732,0.180199516,0.487998508,0.689424239
Week3_25701,PC,NC,0.38042214,0.494352362,0.391005592,0.711184396,0.260526914,0.446434954,0.66213644
Week3_25721,PC,NC,0.436099328,0.511447811,0.444538431,0.66652309,0.22243145,0.4287078,0.68292205
Week4_27481,PC,NC,0.137377946,0.302971117,0.056604352,0.452150189,0.062136499,0.227732649,0.423054749
Week4_27521,PC,NC,0.349286472,0.503768856,0.312114329,0.641037061,0.243966712,0.409251193,0.590448741
Week4_27542,PC,NC,0.232529114,0.384418437,0.155543279,0.636672479,0.171452325,0.310753442,0.547780675
Week4_27801,PC,NC,0.317472332,0.471079938,0.217131037,0.732336546,0.268280175,0.451536604,0.706893426
Week4_27821,PC,NC,0.321266556,0.061308206,0.290485813,0.488812101,0.262983964,0.032002436,0.454817591
Week4_27861,PC,NC,0.220739306,0.427728703,0.159487282,0.656980064,0.12558361,0.424254729,0.634207286
Week5_28901,PC,NC,0.229237849,0.419917072,0.187124965,0.65336056,0.155843886,0.335510025,0.64281551
Week5_28921,PC,NC,0.363746569,0.282343895,0.356587262,0.593191563,-0.010391842,0.27425081,0.598642888
Week5_28961,PC,NC,0.446914021,0.411724052,0.452833909,0.715079288,0.185187405,0.420068168,0.734086037
Week5_29301,PC,NC,0.349541158,0.241836156,0.328490846,0.698951812,0.184722335,0.28587675,0.685609701
Week5_29321,PC,NC,0.332253759,0.281297784,0.324801685,0.689960345,0.239699236,0.29300458,0.713742263
Week5_29341,PC,NC,0.317197783,0.376236735,0.268175035,0.693691789,0.207858004,0.374874188,0.649539695
Week6_31641,PC,NC,0.428300179,0.631793426,0.346456605,0.783136436,0.189754937,0.508502587,0.791653607
Week6_31661,PC,NC,0.415760871,0.62995404,0.387186837,0.743973001,0.152052025,0.472369482,0.727473935
Week6_31681,PC,NC,0.350310239,0.533819681,0.312755196,0.601468751,0.11301932,0.48537616,0.579432142
Week6_32061,PC,NC,0.371937135,0.469136682,0.399194887,0.69685057,0.225596952,0.41740004,0.715724441
Week6_32121,PC,NC,0.290682867,0.490190786,0.267752797,0.663878365,0.078769173,0.407372731,0.635827905
Week6_32161,PC,NC,0.181078135,0.313878448,0.121678556,0.655640868,0.208078907,0.274782499,0.647886448
Week7_34341,PC,NC,0.277504662,0.454848542,0.30249495,0.657056216,-0.051723004,0.383448116,0.6159502
Week7_34381,PC,NC,0.262165904,0.512504161,0.3459549,0.614090614,0.021082485,0.476767832,0.565346356
Week7_34641,PC,NC,0.390252916,0.04697155,0.333508515,0.34060183,0.297183971,-0.061169857,0.370808996
Week7_34661,PC,NC,0.204303492,-0.156881352,0.218094083,-0.039396495,-0.013821748,-0.407391572,0.105985038
Week7_34681,PC,NC,-0.087796414,-0.343770264,-0.030178654,0.015730884,-0.253566068,-0.495572529,0.068902147
Week8_38203,PC,NC,0.080298707,0.430682507,0.008093267,0.673223175,0.063609047,0.417551905,0.608051748
Week8_38221,PC,NC,0.064118943,0.390553555,-0.037351422,0.687277222,0.116423992,0.35137154,0.602569276
Week8_38241,PC,NC,0.053583585,0.347008014,0.01138029,0.662161852,-0.048356039,0.258865618,0.610871398
Week8_38341,PC,NC,-0.177789885,0.302792952,-0.326969075,0.523195653,-0.091604549,0.244252431,0.48432268
Week8_38342,PC,NC,-0.260581861,0.186761853,-0.229942385,0.67448061,-0.177265315,0.394654441,0.624336844
Week9_39206,PC,NC,0.360703257,0.543083708,0.319431173,0.624964164,0.195174733,0.426560555,0.623505932
Week9_39221,PC,NC,0.321873016,0.415165883,0.340546527,0.544450841,0.217040066,0.331323392,0.517213193
Week9_39222,PC,NC,0.309499967,0.494590778,0.255590209,0.665703978,0.261942934,0.364953935,0.611377202
Week9_39282,PC,NC,0.193885061,0.362410203,0.003259312,0.448388525,0.140187974,0.264314379,0.441485666
Week9_39283,PC,NC,0.246179873,0.417025423,0.285708182,0.544071277,0.239305425,0.321597982,0.536386609
Week9_39301,PC,NC,0.216947307,0.4415648,0.14370882,0.643664494,0.150664928,0.310899599,0.584493615
